# x_c f_c(xc) f_c_ohne(xc)
0.1448 9.83477e-07 9.89535e-07
0.1452 9.98378e-07 9.89477e-07
0.1456 9.83477e-07 9.89419e-07
0.146 9.98378e-07 9.89361e-07
0.1464 9.83477e-07 9.89303e-07
0.1468 9.83477e-07 9.89244e-07
0.1472 9.98378e-07 9.89186e-07
0.1476 9.98378e-07 9.89127e-07
0.148 9.83477e-07 9.89068e-07
0.1484 9.98378e-07 9.89009e-07
0.1488 9.83477e-07 9.8895e-07
0.1492 9.83477e-07 9.8889e-07
0.1496 9.83477e-07 9.88831e-07
0.15 9.83477e-07 9.88771e-07
0.1504 9.98378e-07 9.88711e-07
0.1508 9.98378e-07 9.88651e-07
0.1512 9.83477e-07 9.88591e-07
0.1516 9.83477e-07 9.88531e-07
0.152 9.83477e-07 9.8847e-07
0.1524 9.83477e-07 9.88409e-07
0.1528 9.83477e-07 9.88349e-07
0.1532 9.98378e-07 9.88288e-07
0.1536 9.83477e-07 9.88227e-07
0.154 9.83477e-07 9.88165e-07
0.1544 9.83477e-07 9.88104e-07
0.1548 9.83477e-07 9.88042e-07
0.1552 9.83477e-07 9.87981e-07
0.1556 9.83477e-07 9.87919e-07
0.156 9.83477e-07 9.87857e-07
0.1564 9.98378e-07 9.87794e-07
0.1568 9.83477e-07 9.87732e-07
0.1572 9.83477e-07 9.87669e-07
0.1576 9.83477e-07 9.87607e-07
0.158 9.83477e-07 9.87544e-07
0.1584 9.83477e-07 9.87481e-07
0.1588 9.83477e-07 9.87418e-07
0.1592 9.83477e-07 9.87354e-07
0.1596 9.83477e-07 9.87291e-07
0.16 9.83477e-07 9.87227e-07
0.1604 9.83477e-07 9.87163e-07
0.1608 9.83477e-07 9.87099e-07
0.1612 9.83477e-07 9.87035e-07
0.1616 9.83477e-07 9.86971e-07
0.162 9.98378e-07 9.86906e-07
0.1624 9.83477e-07 9.86842e-07
0.1628 9.83477e-07 9.86777e-07
0.1632 9.83477e-07 9.86712e-07
0.1636 9.83477e-07 9.86647e-07
0.164 9.83477e-07 9.86582e-07
0.1644 9.83477e-07 9.86517e-07
0.1648 9.83477e-07 9.86451e-07
0.1652 9.83477e-07 9.86385e-07
0.1656 9.98378e-07 9.86319e-07
0.166 9.83477e-07 9.86253e-07
0.1664 9.98378e-07 9.86187e-07
0.1668 9.83477e-07 9.86121e-07
0.1672 9.83477e-07 9.86054e-07
0.1676 9.83477e-07 9.85988e-07
0.168 9.83477e-07 9.85921e-07
0.1684 9.83477e-07 9.85854e-07
0.1688 9.83477e-07 9.85787e-07
0.1692 9.83477e-07 9.8572e-07
0.1696 9.83477e-07 9.85652e-07
0.17 9.83477e-07 9.85585e-07
0.1704 9.83477e-07 9.85517e-07
0.1708 9.83477e-07 9.85449e-07
0.1712 9.83477e-07 9.85381e-07
0.1716 9.83477e-07 9.85313e-07
0.172 9.83477e-07 9.85244e-07
0.1724 9.83477e-07 9.85176e-07
0.1728 9.83477e-07 9.85107e-07
0.1732 9.83477e-07 9.85038e-07
0.1736 9.83477e-07 9.84969e-07
0.174 9.83477e-07 9.849e-07
0.1744 9.83477e-07 9.84831e-07
0.1748 9.83477e-07 9.84761e-07
0.1752 9.83477e-07 9.84691e-07
0.1756 9.83477e-07 9.84622e-07
0.176 9.83477e-07 9.84552e-07
0.1764 9.83477e-07 9.84482e-07
0.1768 9.83477e-07 9.84411e-07
0.1772 9.83477e-07 9.84341e-07
0.1776 9.83477e-07 9.8427e-07
0.178 9.68575e-07 9.842e-07
0.1784 9.83477e-07 9.84129e-07
0.1788 9.83477e-07 9.84058e-07
0.1792 9.68575e-07 9.83986e-07
0.1796 9.83477e-07 9.83915e-07
0.18 9.83477e-07 9.83844e-07
0.1804 9.83477e-07 9.83772e-07
0.1808 9.83477e-07 9.837e-07
0.1812 9.83477e-07 9.83628e-07
0.1816 9.83477e-07 9.83556e-07
0.182 9.83477e-07 9.83483e-07
0.1824 9.83477e-07 9.83411e-07
0.1828 9.83477e-07 9.83338e-07
0.1832 9.83477e-07 9.83266e-07
0.1836 9.83477e-07 9.83193e-07
0.184 9.83477e-07 9.83119e-07
0.1844 9.83477e-07 9.83046e-07
0.1848 9.83477e-07 9.82973e-07
0.1852 9.83477e-07 9.82899e-07
0.1856 9.83477e-07 9.82825e-07
0.186 9.83477e-07 9.82752e-07
0.1864 9.83477e-07 9.82678e-07
0.1868 9.83477e-07 9.82603e-07
0.1872 9.83477e-07 9.82529e-07
0.1876 9.83477e-07 9.82454e-07
0.188 9.83477e-07 9.8238e-07
0.1884 9.83477e-07 9.82305e-07
0.1888 9.83477e-07 9.8223e-07
0.1892 9.83477e-07 9.82155e-07
0.1896 9.68575e-07 9.82079e-07
0.19 9.68575e-07 9.82004e-07
0.1904 9.68575e-07 9.81928e-07
0.1908 9.83477e-07 9.81853e-07
0.1912 9.83477e-07 9.81777e-07
0.1916 9.83477e-07 9.81701e-07
0.192 9.83477e-07 9.81624e-07
0.1924 9.83477e-07 9.81548e-07
0.1928 9.83477e-07 9.81471e-07
0.1932 9.68575e-07 9.81395e-07
0.1936 9.83477e-07 9.81318e-07
0.194 9.68575e-07 9.81241e-07
0.1944 9.83477e-07 9.81163e-07
0.1948 9.83477e-07 9.81086e-07
0.1952 9.68575e-07 9.81009e-07
0.1956 9.83477e-07 9.80931e-07
0.196 9.83477e-07 9.80853e-07
0.1964 9.83477e-07 9.80775e-07
0.1968 9.68575e-07 9.80697e-07
0.1972 9.68575e-07 9.80619e-07
0.1976 9.83477e-07 9.8054e-07
0.198 9.68575e-07 9.80462e-07
0.1984 9.83477e-07 9.80383e-07
0.1988 9.68575e-07 9.80304e-07
0.1992 9.68575e-07 9.80225e-07
0.1996 9.83477e-07 9.80146e-07
0.2 9.83477e-07 9.80066e-07
0.2004 9.68575e-07 9.79987e-07
0.2008 9.83477e-07 9.79907e-07
0.2012 9.83477e-07 9.79827e-07
0.2016 9.83477e-07 9.79747e-07
0.202 9.68575e-07 9.79667e-07
0.2024 9.68575e-07 9.79587e-07
0.2028 9.68575e-07 9.79506e-07
0.2032 9.83477e-07 9.79426e-07
0.2036 9.83477e-07 9.79345e-07
0.204 9.83477e-07 9.79264e-07
0.2044 9.68575e-07 9.79183e-07
0.2048 9.68575e-07 9.79101e-07
0.2052 9.68575e-07 9.7902e-07
0.2056 9.83477e-07 9.78938e-07
0.206 9.83477e-07 9.78857e-07
0.2064 9.83477e-07 9.78775e-07
0.2068 9.83477e-07 9.78693e-07
0.2072 9.83477e-07 9.7861e-07
0.2076 9.83477e-07 9.78528e-07
0.208 9.68575e-07 9.78446e-07
0.2084 9.68575e-07 9.78363e-07
0.2088 9.68575e-07 9.7828e-07
0.2092 9.68575e-07 9.78197e-07
0.2096 9.83477e-07 9.78114e-07
0.21 9.68575e-07 9.78031e-07
0.2104 9.68575e-07 9.77947e-07
0.2108 9.68575e-07 9.77863e-07
0.2112 9.83477e-07 9.7778e-07
0.2116 9.68575e-07 9.77696e-07
0.212 9.68575e-07 9.77612e-07
0.2124 9.68575e-07 9.77527e-07
0.2128 9.83477e-07 9.77443e-07
0.2132 9.68575e-07 9.77358e-07
0.2136 9.68575e-07 9.77274e-07
0.214 9.68575e-07 9.77189e-07
0.2144 9.83477e-07 9.77104e-07
0.2148 9.83477e-07 9.77019e-07
0.2152 9.83477e-07 9.76933e-07
0.2156 9.83477e-07 9.76848e-07
0.216 9.83477e-07 9.76762e-07
0.2164 9.83477e-07 9.76676e-07
0.2168 9.83477e-07 9.7659e-07
0.2172 9.68575e-07 9.76504e-07
0.2176 9.68575e-07 9.76418e-07
0.218 9.68575e-07 9.76332e-07
0.2184 9.68575e-07 9.76245e-07
0.2188 9.83477e-07 9.76158e-07
0.2192 9.68575e-07 9.76071e-07
0.2196 9.68575e-07 9.75984e-07
0.22 9.68575e-07 9.75897e-07
0.2204 9.68575e-07 9.7581e-07
0.2208 9.68575e-07 9.75722e-07
0.2212 9.68575e-07 9.75634e-07
0.2216 9.68575e-07 9.75547e-07
0.222 9.83477e-07 9.75459e-07
