# x_a f_a(xa) f_a_ohne(xa)
778150 7.64501e-10 7.28408e-10
779140 7.56017e-10 7.2702e-10
780130 7.20632e-10 7.25636e-10
781120 7.28477e-10 7.24257e-10
782110 7.14707e-10 7.22883e-10
783100 6.32951e-10 7.21512e-10
784090 7.85917e-10 7.20146e-10
785080 6.92239e-10 7.18785e-10
786070 7.07416e-10 7.17427e-10
787060 6.30109e-10 7.16074e-10
788050 6.14477e-10 7.14725e-10
789040 6.63078e-10 7.1338e-10
790030 6.62055e-10 7.1204e-10
791020 7.37757e-10 7.10703e-10
792010 7.87907e-10 7.09371e-10
793000 6.11749e-10 7.08043e-10
793990 7.19098e-10 7.06719e-10
794980 7.1941e-10 7.054e-10
795970 7.02187e-10 7.04084e-10
796960 6.35509e-10 7.02773e-10
797950 6.72657e-10 7.01465e-10
798940 7.98991e-10 7.00162e-10
799930 6.50971e-10 6.98862e-10
800920 7.47377e-10 6.97567e-10
801910 6.9096e-10 6.96276e-10
802900 6.17547e-10 6.94988e-10
803890 7.79039e-10 6.93705e-10
804880 6.79222e-10 6.92425e-10
805870 6.74333e-10 6.9115e-10
806860 7.03011e-10 6.89878e-10
807850 7.26317e-10 6.8861e-10
808840 6.30394e-10 6.87346e-10
809830 7.16867e-10 6.86086e-10
810820 6.3892e-10 6.8483e-10
811810 7.4823e-10 6.83578e-10
812800 7.48287e-10 6.82329e-10
813790 6.41649e-10 6.81085e-10
814780 6.63704e-10 6.79844e-10
815770 6.95934e-10 6.78607e-10
816760 6.83485e-10 6.77373e-10
817750 6.24368e-10 6.76143e-10
818740 7.3419e-10 6.74917e-10
819730 6.20048e-10 6.73695e-10
820720 7.00851e-10 6.72476e-10
821710 6.79222e-10 6.71261e-10
822700 6.65267e-10 6.7005e-10
