# x_b f_b(xb) f_b_ohne(xb)
8.7013e-05 0 4.35064e-05
8.7212e-05 0 4.36059e-05
8.7411e-05 0 4.37054e-05
8.761e-05 0 4.38049e-05
8.7809e-05 0 4.39044e-05
8.8008e-05 0 4.40039e-05
8.8207e-05 0 4.41034e-05
8.8406e-05 0 4.42029e-05
8.8605e-05 0 4.43024e-05
8.8804e-05 0 4.44019e-05
8.9003e-05 0 4.45014e-05
8.9202e-05 0 4.46009e-05
8.9401e-05 0 4.47004e-05
8.96e-05 0 4.47999e-05
8.9799e-05 0 4.48994e-05
8.9998e-05 0 4.49989e-05
9.0197e-05 0 4.50984e-05
9.0396e-05 0 4.51979e-05
9.0595e-05 0 4.52974e-05
9.0794e-05 0 4.53969e-05
9.0993e-05 0 4.54964e-05
9.1192e-05 0 4.55959e-05
9.1391e-05 0 4.56954e-05
9.159e-05 0 4.57949e-05
9.1789e-05 0 4.58944e-05
9.1988e-05 0 4.59939e-05
9.2187e-05 0 4.60934e-05
9.2386e-05 0 4.61929e-05
9.2585e-05 0 4.62924e-05
9.2784e-05 0 4.63919e-05
9.2983e-05 0 4.64914e-05
9.3182e-05 0 4.65908e-05
9.3381e-05 0 4.66903e-05
9.358e-05 0 4.67898e-05
9.3779e-05 0 4.68893e-05
9.3978e-05 0 4.69888e-05
9.4177e-05 0 4.70883e-05
9.4376e-05 0 4.71878e-05
9.4575e-05 0 4.72873e-05
9.4774e-05 0 4.73868e-05
9.4973e-05 0 4.74863e-05
9.5172e-05 0 4.75858e-05
9.5371e-05 0 4.76853e-05
9.557e-05 0 4.77848e-05
9.5769e-05 0 4.78843e-05
9.5968e-05 0 4.79838e-05
9.6167e-05 0 4.80833e-05
9.6366e-05 0 4.81828e-05
9.6565e-05 0 4.82823e-05
9.6764e-05 0 4.83818e-05
9.6963e-05 0 4.84813e-05
9.7162e-05 0 4.85808e-05
9.7361e-05 0 4.86803e-05
9.756e-05 0 4.87798e-05
9.7759e-05 0 4.88793e-05
9.7958e-05 0 4.89788e-05
9.8157e-05 0 4.90783e-05
9.8356e-05 0 4.91778e-05
9.8555e-05 0 4.92773e-05
9.8754e-05 0 4.93768e-05
9.8953e-05 0 4.94763e-05
9.9152e-05 0 4.95758e-05
9.9351e-05 0 4.96753e-05
9.955e-05 0 4.97748e-05
9.9749e-05 0 4.98743e-05
9.9948e-05 0 4.99738e-05
0.000100147 0 5.00733e-05
0.000100346 0 5.01728e-05
0.000100545 0 5.02723e-05
0.000100744 0 5.03718e-05
0.000100943 0 5.04713e-05
0.000101142 0 5.05708e-05
0.000101341 0 5.06703e-05
0.00010154 0 5.07698e-05
0.000101739 0 5.08693e-05
0.000101938 0 5.09688e-05
0.000102137 0 5.10683e-05
0.000102336 0 5.11678e-05
0.000102535 0 5.12673e-05
0.000102734 0 5.13668e-05
0.000102933 0 5.14663e-05
0.000103132 0 5.15658e-05
0.000103331 0 5.16653e-05
0.00010353 0 5.17648e-05
0.000103729 0 5.18643e-05
0.000103928 0 5.19638e-05
0.000104127 0 5.20633e-05
0.000104326 0 5.21628e-05
0.000104525 0 5.22623e-05
0.000104724 0 5.23618e-05
0.000104923 0 5.24613e-05
0.000105122 0 5.25608e-05
0.000105321 0 5.26603e-05
0.00010552 0 5.27598e-05
0.000105719 0 5.28593e-05
0.000105918 0 5.29588e-05
0.000106117 0 5.30583e-05
0.000106316 0 5.31578e-05
0.000106515 0 5.32573e-05
0.000106714 0 5.33568e-05
0.000106913 0 5.34563e-05
0.000107112 0 5.35558e-05
0.000107311 0 5.36553e-05
0.00010751 0 5.37548e-05
0.000107709 0 5.38543e-05
0.000107908 0 5.39538e-05
0.000108107 0 5.40533e-05
0.000108306 0 5.41528e-05
0.000108505 0 5.42523e-05
0.000108704 0 5.43517e-05
0.000108903 0 5.44512e-05
0.000109102 0 5.45507e-05
0.000109301 0 5.46502e-05
0.0001095 0 5.47497e-05
0.000109699 0 5.48492e-05
0.000109898 0 5.49487e-05
0.000110097 0 5.50482e-05
0.000110296 0 5.51477e-05
0.000110495 0 5.52472e-05
0.000110694 0 5.53467e-05
0.000110893 0 5.54462e-05
0.000111092 0 5.55457e-05
0.000111291 0 5.56452e-05
0.00011149 0 5.57447e-05
0.000111689 0 5.58442e-05
0.000111888 0 5.59437e-05
0.000112087 0 5.60432e-05
0.000112286 0 5.61427e-05
0.000112485 0 5.62422e-05
0.000112684 0 5.63417e-05
0.000112883 0 5.64412e-05
0.000113082 0 5.65407e-05
0.000113281 0 5.66402e-05
0.00011348 0 5.67397e-05
0.000113679 0 5.68392e-05
0.000113878 0 5.69387e-05
0.000114077 0 5.70382e-05
0.000114276 0 5.71377e-05
0.000114475 0 5.72372e-05
0.000114674 0 5.73367e-05
0.000114873 0 5.74362e-05
0.000115072 0 5.75357e-05
0.000115271 0 5.76352e-05
0.00011547 0 5.77347e-05
0.000115669 0 5.78342e-05
0.000115868 0 5.79337e-05
0.000116067 0 5.80332e-05
0.000116266 0 5.81327e-05
0.000116465 0 5.82322e-05
0.000116664 0 5.83317e-05
0.000116863 0 5.84312e-05
0.000117062 0 5.85307e-05
0.000117261 0 5.86302e-05
0.00011746 0 5.87297e-05
0.000117659 0 5.88292e-05
0.000117858 0 5.89287e-05
0.000118057 0 5.90282e-05
0.000118256 0 5.91277e-05
0.000118455 0 5.92272e-05
0.000118654 0 5.93267e-05
0.000118853 0 5.94262e-05
0.000119052 0 5.95257e-05
0.000119251 0 5.96252e-05
0.00011945 0 5.97247e-05
0.000119649 0 5.98242e-05
0.000119848 0 5.99237e-05
0.000120047 0 6.00232e-05
0.000120246 0 6.01227e-05
0.000120445 0 6.02222e-05
0.000120644 0 6.03217e-05
0.000120843 0 6.04212e-05
0.000121042 0 6.05207e-05
